amfi_code,scheme_name,fund_house,Alpha,Beta
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,0.2377,-0.0256
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,0.2074,-0.0363
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,0.3151,-0.0476
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,0.0478,0.0113
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,0.0558,0.001
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,0.0331,0.01
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,0.1883,-0.0365
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,0.2637,0.0319
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,0.1199,0.0009
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,0.0442,-0.0052
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,0.1714,0.0167
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,0.2224,-0.038
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,0.2981,-0.021
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,0.1587,0.0196
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,0.0675,-0.0001
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,0.216,0.0076
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,0.1582,-0.0112
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,0.1782,0.0001
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,0.1515,-0.0007
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,0.051,-0.0007
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,0.1367,-0.0196
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,0.0802,-0.006
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,0.272,0.0022
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,0.0648,-0.0009
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,0.0627,0.0253
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,0.0788,0.0163
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,0.2595,-0.0029
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,0.0579,-0.0456
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,0.219,-0.0166
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,0.1197,-0.0486
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,0.0607,0.0007
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,0.1718,-0.0074
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,0.0311,-0.0129
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,0.1609,0.0067
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,0.2677,0.0109
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,0.2111,-0.0122
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,0.2831,0.0006
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,0.1369,-0.0203
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,0.2685,-0.0098
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,0.2935,0.0285
