amfi_code,scheme_name,fund_house,return_3yr_pct,sharpe_ratio,Alpha,Beta,Maximum_Drawdown,Score
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,23.39,0.94,0.3151,-0.0476,-28.71,86.25
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,18.08,0.95,0.2981,-0.021,-18.19,76.75
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,15.65,0.98,0.272,0.0022,-12.97,73.0
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,18.23,0.96,0.0802,-0.006,-24.0,68.25
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,14.81,1.06,0.2677,0.0109,-11.27,68.12
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,17.16,0.9,0.2685,-0.0098,-17.25,67.38
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,23.14,0.93,0.0478,0.0113,-52.57,67.12
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,22.38,0.9,0.1197,-0.0486,-35.45,66.88
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,15.34,0.96,0.1609,0.0067,-21.54,65.5
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,20.08,0.8,0.2935,0.0285,-31.17,65.12
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,14.0,1.0,0.216,0.0076,-17.41,63.0
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,14.41,1.03,0.2224,-0.038,-12.59,63.0
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,14.76,0.98,0.1587,0.0196,-19.83,61.5
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,16.58,0.87,0.2637,0.0319,-16.22,61.5
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,20.15,0.81,0.1782,0.0001,-23.34,60.12
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,14.84,1.06,0.0331,0.01,-24.73,59.62
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,13.78,0.98,0.219,-0.0166,-11.29,57.5
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,20.98,0.84,0.0579,-0.0456,-51.68,57.0
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,14.56,0.91,0.2111,-0.0122,-15.27,54.12
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,13.38,0.96,0.1883,-0.0365,-15.2,53.5
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,15.18,0.8,0.2595,-0.0029,-20.96,50.88
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,12.36,0.88,0.2377,-0.0256,-15.01,45.62
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,15.61,0.82,0.0311,-0.0129,-28.0,43.88
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,15.29,0.8,0.1199,0.0009,-21.12,43.62
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,13.58,0.8,0.2831,0.0006,-16.4,43.62
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,12.82,0.92,0.1369,-0.0203,-14.84,43.5
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,7.68,7.68,0.0675,-0.0001,-0.1,41.75
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,12.33,0.88,0.1582,-0.0112,-18.63,40.88
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,12.1,0.93,0.1718,-0.0074,-10.86,40.38
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,6.18,6.18,0.0648,-0.0009,-0.12,38.75
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,12.25,0.87,0.1367,-0.0196,-17.57,36.0
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,7.37,1.84,0.0442,-0.0052,-4.31,35.25
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,12.14,0.87,0.0788,0.0163,-21.75,34.75
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,11.77,0.91,0.1515,-0.0007,-11.65,34.38
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,5.14,5.14,0.0607,0.0007,-0.16,34.25
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,6.07,1.52,0.0558,0.001,-4.33,34.25
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,5.31,1.33,0.051,-0.0007,-8.32,32.25
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,11.54,0.82,0.1714,0.0167,-13.9,28.12
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,11.3,0.81,0.2074,-0.0363,-11.8,26.88
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,11.84,0.85,0.0627,0.0253,-14.4,25.75
