amfi_code,HHI,Portfolio_Type
100016,1.3953386000000003e-05,Diversified
100033,1.4759226e-05,Diversified
101206,1.2933173000000001e-05,Diversified
101207,2.0070043e-05,Diversified
102885,1.7470902e-05,Diversified
102886,1.1469284e-05,Diversified
102887,1.2980495e-05,Diversified
118632,1.682982e-05,Diversified
118633,1.2146086e-05,Diversified
118634,1.0835772e-05,Diversified
118635,1.3594415000000001e-05,Diversified
119092,2.0644767e-05,Diversified
119093,1.3089424e-05,Diversified
119094,1.3640591000000002e-05,Diversified
119095,1.0960535e-05,Diversified
119551,1.1871552e-05,Diversified
119552,1.0801069e-05,Diversified
119598,1.0734895e-05,Diversified
119599,1.7475096e-05,Diversified
120503,1.4087026000000002e-05,Diversified
120504,1.0867415e-05,Diversified
120505,1.5757036e-05,Diversified
120506,1.537936e-05,Diversified
120841,1.4968034999999999e-05,Diversified
120842,1.2743881000000001e-05,Diversified
120843,1.2868306e-05,Diversified
125497,1.3658554e-05,Diversified
125498,1.5241397999999999e-05,Diversified
148567,1.3858416999999999e-05,Diversified
148568,1.6792973000000003e-05,Diversified
148569,1.4939641999999998e-05,Diversified
149322,1.3439797e-05,Diversified
149323,1.4162096e-05,Diversified
149324,1.186771e-05,Diversified
