investor_id,SIP_Count,Avg_Gap_Days,Risk_Flag
INV000001,3,38.0,Healthy
INV000002,6,82.8,At Risk
INV000003,2,238.0,Healthy
INV000004,9,53.375,At Risk
INV000005,8,52.0,At Risk
INV000006,6,99.0,At Risk
INV000007,5,104.5,Healthy
INV000008,8,50.285714285714285,At Risk
INV000009,7,80.83333333333333,At Risk
INV000010,11,32.8,Healthy
INV000011,11,45.2,At Risk
INV000012,11,41.4,At Risk
INV000013,10,36.888888888888886,At Risk
INV000014,11,47.1,At Risk
INV000015,2,127.0,Healthy
INV000016,3,87.5,Healthy
INV000017,4,131.33333333333334,Healthy
INV000018,4,110.33333333333333,Healthy
INV000019,4,136.66666666666666,Healthy
INV000020,6,57.8,At Risk
INV000021,6,75.4,At Risk
INV000022,6,95.8,At Risk
INV000023,10,45.55555555555556,At Risk
INV000024,8,43.285714285714285,At Risk
INV000025,1,,Healthy
INV000026,7,72.33333333333333,At Risk
INV000027,7,58.5,At Risk
INV000028,9,58.5,At Risk
INV000029,11,36.4,At Risk
INV000030,12,38.27272727272727,At Risk
INV000031,6,85.0,At Risk
INV000032,8,67.71428571428571,At Risk
INV000033,11,46.2,At Risk
INV000034,3,52.0,Healthy
INV000035,2,144.0,Healthy
INV000036,2,99.0,Healthy
INV000037,5,62.5,Healthy
INV000038,7,64.16666666666667,At Risk
INV000039,8,52.857142857142854,At Risk
INV000040,10,51.55555555555556,At Risk
INV000041,6,68.6,At Risk
INV000042,5,17.0,Healthy
INV000043,3,181.0,Healthy
INV000044,6,89.0,At Risk
INV000045,10,39.22222222222222,At Risk
INV000046,7,72.0,At Risk
INV000047,5,60.5,Healthy
INV000048,11,36.8,At Risk
INV000049,3,247.5,Healthy
INV000050,3,71.5,Healthy
INV000051,6,63.2,At Risk
INV000052,10,46.0,At Risk
INV000053,2,7.0,Healthy
INV000054,7,56.0,At Risk
INV000055,12,36.36363636363637,At Risk
INV000056,8,66.85714285714286,At Risk
INV000057,11,34.8,Healthy
INV000058,7,56.833333333333336,At Risk
INV000059,1,,Healthy
INV000060,2,90.0,Healthy
INV000061,5,67.25,Healthy
INV000062,8,66.28571428571429,At Risk
INV000063,3,218.0,Healthy
INV000064,1,,Healthy
INV000065,6,91.8,At Risk
INV000066,7,40.833333333333336,At Risk
INV000067,1,,Healthy
INV000068,1,,Healthy
INV000069,12,40.18181818181818,At Risk
INV000070,4,113.66666666666667,Healthy
INV000071,7,14.333333333333334,Healthy
INV000072,10,46.666666666666664,At Risk
INV000073,10,45.666666666666664,At Risk
INV000074,11,50.8,At Risk
INV000075,7,62.333333333333336,At Risk
INV000076,9,58.375,At Risk
INV000077,2,87.0,Healthy
INV000078,4,153.0,Healthy
INV000079,9,56.125,At Risk
INV000080,5,60.75,Healthy
INV000081,11,48.8,At Risk
INV000082,9,62.75,At Risk
INV000083,2,180.0,Healthy
INV000084,7,76.5,At Risk
INV000085,8,52.142857142857146,At Risk
INV000086,12,36.54545454545455,At Risk
